339		1988	\\"48 Hours\\"
340	Portuguese	2009	\\"5 Para a Meia Noite\\"
341	English	1995	\\"500 Nations\\"
342		2004	\\"55 Degrees North\\"
343	English	2004	\\"5ive Days to Midnight\\"
344	English	2002	\\"5th Gear\\"
345		1968	\\"60 Minutes\\"
346	English	2004	\\"6Teen\\"
347	Turkish	2000	\\"7 numara\\"
348		1999	\\"7 vidas\\"
349		1958	\\"77 Sunset Strip\\"
350		1996	\\"7th Heaven\\"
351		2005	\\"8 Out of 10 Cats\\"
352		2002	\\"8 Simple Rules... for Dating My Teenage Daughter\\"
353		2006	\\"8th & Ocean\\"
354		1982	\\"9 to 5\\"
355		2008	\\"90210\\"
356	English	2009	\\"=3\\"
357	English	1987	\\"A Bit of Fry and Laurie\\"
358	Spanish	2003	\\"A Casa das Sete Mulheres\\"
359	English	1998	\\"A Certain Justice\\"
360		1981	\\"A Country Practice\\"
361	English	1997	\\"A Dance to the Music of Time\\"
362		1987	\\"A Different World\\"
363	\N	2000	\\"A Dinner of Herbs\\"
364	English	2008	\\"A Double Shot at Love\\"
365	English	2010	\\"A Drop of True Blood\\"
366	\N	1970	\\"A Family at War\\"
367	English	1992	\\"A Fatal Inversion\\"
368	Portuguese	2008	\\"A Favorita\\"
369	English	1981	\\"A Fine Romance\\"
370		2011	\\"A Gifted Man\\"
371	English	2006	\\"A Girl's Guide to 21st Century Sex\\"
372	Portuguese	2001	\\"A Grande Família\\"
373		2005	\\"A Haunting\\"
374	English	2000	\\"A History of Britain\\"
375	English	2010	\\"A History of Horror with Mark Gatiss\\"
376	English	1986	\\"A Little Princess\\"
377		1989	\\"A Man Called Hawk\\"
378		1994	\\"A Mind to Kill\\"
379	English	2003	\\"A Minute with Stan Hooper\\"
380		2000	\\"A Muralha\\"
381	Hungarian	1969	\\"A Mézga család különös kalandjai\\"
382		2001	\\"A Nero Wolfe Mystery\\"
383	English	2005	\\"A Nightmare on Elm Street: Real Nightmares\\"
384	English	2010	\\"A Passionate Woman\\"
385	English	1987	\\"A Perfect Spy\\"
386	Portuguese	1995	\\"A Próxima Vítima\\"
387		1988	\\"A Pup Named Scooby-Doo\\"
388	English	2007	\\"A Shot at Love with Tila Tequila\\"
389	English	1989	\\"A TV Dante\\"
390	English	1989	\\"A Tale of Two Cities\\"
391		1988	\\"A Taste for Death\\"
392	Hungarian	1963	\\"A Tenkes kapitánya\\"
393	English	2012	\\"A Touch of Cloth\\"
394		1992	\\"A Touch of Frost\\"
395	English	1981	\\"A Town Like Alice\\"
396	English	1988	\\"A Very British Coup\\"
397	English	1986	\\"A Very Peculiar Practice\\"
398		1998	\\"A Will of Their Own\\"
399	English	1991	\\"A Woman Named Jackie\\"
400	English	1995	\\"A Woman of Independent Means\\"
401	English	1984	\\"A Woman of Substance\\"
402	English	1993	\\"A Woman's Guide to Adultery\\"
403	English	1993	\\"A Year in Provence\\"
404	English	1986	\\"A Year in the Life\\"
405		1985	\\"A.D.\\"
406	Greek	1997	\\"A.M.A.N.\\"
407	English	2011	\\"A.N.T. Farm\\"
408		1972	\\"ABC Afterschool Specials\\"
409		1980	\\"ABC News Nightline\\"
410	\N	1990	\\"ABC TGIF\\"
411		2007	\\"ADHDtv: With Lew Marklin\\"
412		1986	\\"ALF\\"
413		1987	\\"ALF: The Animated Series\\"
414	Japanese	2005	\\"Aa Megamisama\\"
415	English	2000	\\"Aaagh! It's the Mr. Hell Show!\\"
416	English	1994	\\"Aaahh!!! Real Monsters\\"
417	English	2009	\\"Aaron Stone\\"
418	English	1967	\\"Abbott & Costello\\"
419	Japanese	2002	\\"Abenobashi mahô shôtengai\\"
420	Hungarian	1978	\\"Abigél\\"
421	English	2010	\\"Above Suspicion 2: The Red Dahlia\\"
422	English	2006	\\"Above and Beyond\\"
423	Spanish	2000	\\"Abrázame muy fuerte\\"
424		2003	\\"Absolute Power\\"
425		1992	\\"Absolutely Fabulous\\"
426	English	1989	\\"Absolutely\\"
427		1993	\\"Acapulco H.E.A.T.\\"
428		2009	\\"Accidentally on Purpose\\"
429		2001	\\"According to Jim\\"
430	English	2010	\\"Accused\\"
431	English	1995	\\"Ace Ventura: Pet Detective\\"
432	English	2006	\\"Ace of Cakes\\"
433	Turkish	2006	\\"Acemi cadi\\"
434		2005	\\"Aci hayat\\"
435	Spanish	2007	\\"Acorralada\\"
436		1989	\\"Acropolis Now\\"
437	English	2003	\\"Action League Now!!\\"
438	English	1995	\\"Action Man\\"
439	English	2000	\\"Action Man\\"
440		1999	\\"Action\\"
441	Hindi	2010	\\"Adaalat\\"
442	English	1989	\\"Adam 12\\"
443	English	2003	\\"Adam and Joe Go Tokyo\\"
444		1968	\\"Adam-12\\"
445	Turkish	2008	\\"Adanali\\"
446		2011	\\"Adini feriha koydum\\"
447	English	2002	\\"Adventure Inc.\\"
448		2010	\\"Adventure Time with Finn & Jake\\"
449		1959	\\"Adventures in Paradise\\"
450	English	1991	\\"Adventures in Wonderland\\"
451	English	1993	\\"Adventures of Sonic the Hedgehog\\"
452		1952	\\"Adventures of Superman\\"
453		1985	\\"Adventures of the Gummi Bears\\"
454	French	2007	\\"Afro Samurai\\"
455		2011	\\"After Lately\\"
456		1983	\\"After MASH\\"
457		2007	\\"After You've Gone\\"
458		2005	\\"Afterlife\\"
459	English	2007	\\"Afterworld\\"
460		2011	\\"Against the Wall\\"
461		1978	\\"Against the Wind\\"
462	French	1983	\\"Agatha Christie's Partners in Crime\\"
463		1989	\\"Agatha Christie's Poirot\\"
464	Japanese	1987	\\"Ai no wakakusa monogatari\\"
465	Japanese	2003	\\"Ai yori aoshi 'enishi'\\"
466	Japanese	2002	\\"Ai yori aoshi\\"
467	Mandarin	2009	\\"Ailiseu\\"
468	English	2011	\\"Aim High\\"
469		2006	\\"Air Gear\\"
470	Japanese	2005	\\"Air\\"
471	English	2004	\\"Airline\\"
472		1984	\\"Airwolf\\"
473		1987	\\"Airwolf\\"
474	Japanese	2004	\\"Aishiteruze baby\\"
475	Japanese	1979	\\"Akage no An\\"
476	Japanese	2005	\\"Akagi\\"
477	Turkish	2008	\\"Akasya duragi\\"
478	Greek	2001	\\"Akros oikogeneiakon\\"
479	Greek	2005	\\"Al Tsantiri News\\"
480	Spanish	2007	\\"Al diablo con los guapos\\"
481		1997	\\"Al salir de clase\\"
482	Turkish	2003	\\"Alacakaranlik\\"
483	English	1994	\\"Aladdin\\"
484	English	2009	\\"Alan Carr: Chatty Man\\"
485		1996	\\"Alarm für Cobra 11 - Die Autobahnpolizei\\"
486		2003	\\"Alarm für Cobra 11 - Einsatz für Team 2\\"
487		1984	\\"Alas Smith & Jones\\"
488		1974	\\"Albert & Herbert\\"
489	Spanish	2005	\\"Alborada\\"
490		2012	\\"Alcatraz\\"
491		1959	\\"Alcoa Presents: One Step Beyond\\"
492	Spanish	2002	\\"Alejo y Valentina\\"
493	English	1997	\\"Alexander Senki\\"
494		1955	\\"Alfred Hitchcock Presents\\"
495		1985	\\"Alfred Hitchcock Presents\\"
496	Dutch	1989	\\"Alfred J. Kwak\\"
497		1971	\\"Alias Smith and Jones\\"
498		2001	\\"Alias\\"
499		1976	\\"Alice\\"
500		2009	\\"Alice\\"
501	English	2006	\\"Alice, I Think\\"
502		1989	\\"Alien Nation\\"
503		2007	\\"Aliens in America\\"
504	Turkish	2004	\\"Aliye\\"
505		1978	\\"All Creatures Great and Small\\"
506	English	1996	\\"All Dogs Go to Heaven: The Series\\"
507		2003	\\"All Grown Up\\"
508	Korean	2003	\\"All In\\"
509		1970	\\"All My Children\\"
510		1998	\\"All Saints\\"
511		1994	\\"All That\\"
512	English	2011	\\"All Watched Over by Machines of Loving Grace\\"
513	English	2009	\\"All Worked Up\\"
514		1968	\\"All in the Family\\"
515		2003	\\"All of Us\\"
516		1999	\\"All stars - De serie\\"
517	English	1983	\\"All the Rivers Run\\"
518	English	2009	\\"All the Small Things\\"
519		1994	\\"All-American Girl\\"
520		2011	\\"All-American Muslim\\"
521	Swedish	1987	\\"Alla vi barn i Bullerbyn\\"
522		2011	\\"Allen Gregory\\"
523		2000	\\"Alles Atze\\"
524	Dutch	1998	\\"Alles kan beter\\"
525	German	2006	\\"Alles was zählt\\"
526		1990	\\"Alleyn Mysteries\\"
527		1997	\\"Ally McBeal\\"
528	English	1993	\\"Almost Home\\"
529	English	1984	\\"Almost Live!\\"
530		2011	\\"Almost Naked Animals\\"
531	English	2009	\\"Alone in the Wild\\"
532		2011	\\"Alphas\\"
533	Polish	1983	\\"Alternatywy 4\\"
534		1983	\\"Alvin & the Chipmunks\\"
535		2001	\\"Always Greener\\"
536	Spanish	2005	\\"Amar en tiempos revueltos\\"
537	Malay	2011	\\"Amaya\\"
538		1985	\\"Amazing Stories\\"
539	English	1999	\\"Amazon\\"
540		1986	\\"Amen\\"
541		1978	\\"America 2-Night\\"
542	English	1989	\\"America's Funniest Home Videos\\"
543		2006	\\"America's Got Talent\\"
544		1988	\\"America's Most Wanted\\"
545	English	2011	\\"America's Next Great Restaurant\\"
546		2003	\\"America's Next Top Model\\"
547	English	2010	\\"America: The Story of Us\\"
548	English	2003	\\"American Chopper: The Series\\"
549		2005	\\"American Dad!\\"
550	English	2005	\\"American Dragon: Jake Long\\"
551		2002	\\"American Dreams\\"
552	English	2006	\\"American Gangster\\"
553		1989	\\"American Gladiators\\"
554	English	2008	\\"American Gladiators\\"
555		1995	\\"American Gothic\\"
556	English	2011	\\"American Guns\\"
557		2011	\\"American Horror Story\\"
558	English	2004	\\"American Hot Rod\\"
559		2002	\\"American Idol: The Search for a Superstar\\"
560	English	2003	\\"American Juniors\\"
561		1983	\\"American Masters\\"
562	English	2009	\\"American Ninja Warrior\\"
563	English	2010	\\"American Pickers\\"
564	English	2010	\\"American Restoration\\"
565	English	1987	\\"Amerika\\"
566	Spanish	2001	\\"Amigas y rivales\\"
567	Portuguese	1979	\\"Amor de Perdição\\"
568	Spanish	2003	\\"Amor real\\"
569	Portuguese	2005	\\"América\\"
570	English	2010	\\"An Idiot Abroad\\"
571	English	1997	\\"An Unsuitable Job for a Woman\\"
572	Spanish	2002	\\"Ana y los 7\\"
573	Japanese	2012	\\"Anazâ\\"
574		2009	\\"Ancient Aliens\\"
575		2006	\\"Ancient Rome: The Rise and Fall of an Empire\\"
576	Swedish	2007	\\"Andra Avenyn\\"
577	English	2000	\\"Andromeda\\"
578		2007	\\"Andy Barker, P.I.\\"
579		2002	\\"Andy Richter Controls the Universe\\"
580	English	2010	\\"Angel Beats!\\"
581		1999	\\"Angel\\"
582	English	1999	\\"Angela Anaconda\\"
583		2006	\\"Angela's Eyes\\"
584	French	2003	\\"Angels in America\\"
585		2012	\\"Anger Management\\"
586		1979	\\"Angie\\"
587		2011	\\"Angry Boys\\"
588	Hungarian	1990	\\"Angyalbörben\\"
589	English	2003	\\"Animal Cops: Houston\\"
590		2012	\\"Animal Practice\\"
591		1993	\\"Animaniacs\\"
592		1998	\\"Animorphs\\"
593	English	1977	\\"Anna Karenina\\"
594	English	2000	\\"Anna Karenina\\"
595		2006	\\"Anna Pihl\\"
596		1972	\\"Anna and the King\\"
597	German	2008	\\"Anna und die Liebe\\"
598	Hebrew	2001	\\"Anne Frank: The Whole Story\\"
599	English	1975	\\"Anne of Avonlea\\"
600	Swedish	2011	\\"Anno 1790\\"
601		2006	\\"Annually Retentive\\"
602	Japanese	2011	\\"Ano hi mita hana no namae o bokutachi wa mada shiranai.\\"
603		1964	\\"Another World\\"
604		2002	\\"Ant & Dec's Saturday Night Takeaway\\"
605		2005	\\"Anthony Bourdain: No Reservations\\"
606		1997	\\"Antiques Roadshow\\"
607		1998	\\"Any Day Now\\"
608	English	2010	\\"Any Human Heart\\"
609		2008	\\"Anyone But Me\\"
610		1989	\\"Anything But Love\\"
611	English	1985	\\"Anzacs\\"
612		2011	\\"Apocalypse - Hitler\\"
613	French	2009	\\"Apocalypse - La 2ème guerre mondiale\\"
614	German	2008	\\"Apostol\\"
615	English	2008	\\"Apparitions\\"
616	\N	2011	\\"Appropriate Adult\\"
617		2000	\\"Aqua Teen Hunger Force\\"
618	Portuguese	2006	\\"Aqui Não Há Quem Viva\\"
619	English	1997	\\"Aquila\\"
620	Spanish	2003	\\"Aquí no hay quien viva\\"
621	Czech	1993	\\"Arabela se vrací\\"
622		1979	\\"Arabela\\"
623		2009	\\"Archer\\"
624		1979	\\"Archie Bunker's Place\\"
625		1999	\\"Archie's Weird Mysteries\\"
626	English	2012	\\"Arctic Air\\"
627		2010	\\"Are We There Yet?\\"
628		1991	\\"Are You Afraid of the Dark?\\"
629	\N	1999	\\"Are You Afraid of the Dark?\\"
630		1972	\\"Are You Being Served?\\"
631	English	2003	\\"Are You Hot? The Search for America's Sexiest People\\"
632		2012	\\"Are You There, Chelsea?\\"
633	English	2008	\\"Argumental\\"
634	English	1999	\\"Aristocrats\\"
635		1976	\\"Ark II\\"
636	Turkish	2007	\\"Arka siradakiler\\"
637	Turkish	2006	\\"Arka sokaklar\\"
638		1996	\\"Arli$$\\"
639		2001	\\"Armadillo\\"
640	English	2007	\\"Armed & Famous\\"
641	English	1997	\\"Armstrong and Miller\\"
642		2007	\\"Army Wives\\"
643	English	2002	\\"Around the Horn\\"
644	English	2005	\\"Around the World in 80 Treasures\\"
645		2003	\\"Arrested Development\\"
646	English	1990	\\"Art Attack\\"
647		1996	\\"Arthur\\"
648	Japanese	1974	\\"Arupusu no shôjo Haiji\\"
649	English	2001	\\"As If\\"
650		1992	\\"As Time Goes By\\"
651		2000	\\"As Told by Ginger\\"
652		1956	\\"As the World Turns\\"
653		2010	\\"Asfur\\"
654		2008	\\"Ashes to Ashes\\"
655	Turkish	2007	\\"Asi\\"
656	English	2008	\\"Ask That Guy with the Glasses\\"
657	Turkish	2010	\\"Ask ve ceza\\"
658	Turkish	2008	\\"Ask-i memnu\\"
659	Turkish	2005	\\"Aska sürgün\\"
660	Turkish	2001	\\"Askim askim\\"
661	Turkish	2002	\\"Asli ile Kerem\\"
662	Turkish	2002	\\"Asmali konak\\"
663		2004	\\"Aspe\\"
664	English	2009	\\"Assassin's Creed: Lineage\\"
665	English	2006	\\"Assy McGee\\"
666	English	2003	\\"Astro Boy tetsuwan atomu\\"
667	English	1963	\\"Astroboy\\"
668	English	1996	\\"Asylum\\"
669	English	2000	\\"At Home with the Braithwaites\\"
670	English	1967	\\"At Last the 1948 Show\\"
671	Japanese	1969	\\"Atakku no. 1\\"
672	Japanese	1984	\\"Atakkâ you!\\"
673	Japanese	2006	\\"Atenshon purîzu\\"
674	French	2004	\\"Athens 2004: Games of the XXVIII Olympiad\\"
675	English	2007	\\"Atom\\"
676	English	2004	\\"Atomic Betty\\"
677	English	2008	\\"Atop the Fourth Wall\\"
678	English	1990	\\"Attack of the Killer Tomatoes\\"
679	\N	2005	\\"Attack of the Show!\\"
680	Portuguese	2005	\\"Até Amanhã, Camaradas\\"
681	English	2010	\\"Auction Hunters\\"
682	English	2010	\\"Auction Kings\\"
683	English	2011	\\"Audrina\\"
684		1983	\\"Auf Wiedersehen, Pet\\"
685		2010	\\"Aufschneider\\"
686	Hungarian	2005	\\"Auschwitz: The Nazis and the 'Final Solution'\\"
687	English	2011	\\"Austin & Ally\\"
688		2004	\\"Australia's Next Top Model\\"
689		1983	\\"Automan\\"
690		2005	\\"Avatar: The Last Airbender\\"
691	English	1999	\\"Avengers\\"
692	English	2003	\\"Average Joe\\"
693		2004	\\"Avrupa yakasi\\"
694		2012	\\"Awake\\"
695		2011	\\"Awkward.\\"
696		2008	\\"Ax Men\\"
697	Japanese	2006	\\"Ayakashi\\"
698	Japanese	2000	\\"Ayashi no Ceres\\"
699	Turkish	1999	\\"Ayrilsak da beraberiz\\"
700		2002	\\"Azumanga daiô\\"
701	Spanish	2005	\\"Aída\\"
702	Japanese	2010	\\"B-gata H-kei\\"
703		1978	\\"B.J. and the Bear\\"
704		1976	\\"Baa Baa Black Sheep\\"
705	Persian	2006	\\"Baaghe Mozaffar\\"
706		1995	\\"Baantjer\\"
707	French	1989	\\"Babar\\"
708	English	2000	\\"Baby Blues\\"
709		2012	\\"Baby Daddy\\"
710	English	2002	\\"Baby Looney Tunes\\"
711		1994	\\"Babylon 5\\"
712	Japanese	2007	\\"Baccano!\\"
713		1957	\\"Bachelor Father\\"
714	English	2010	\\"Bachelor Pad\\"
715	English	2007	\\"Back at the Barnyard\\"
716		2007	\\"Back to You\\"
717	English	1991	\\"Back to the Future\\"
718		1979	\\"Backstairs at the White House\\"
719		2010	\\"Backwash\\"
720	English	2012	\\"Bad Education\\"
721	English	1999	\\"Bad Girls\\"
722	English	2009	\\"Bad Movie Beatdown\\"
723	Hindi	2011	\\"Bade Achhe Lagte Hain\\"
724	English	2011	\\"Bag of Bones\\"
725		1990	\\"Bagdad Cafe\\"
726	English	2010	\\"Baggage\\"
727	English	1974	\\"Bagpuss\\"
728	Romanian	2005	\\"Baieti buni\\"
729	Japanese	2010	\\"Baka to tesuto to shoukanjuu\\"
730	Japanese	2009	\\"Bakemonogatari\\"
731		1993	\\"Bakersfield P.D.\\"
732	English	2001	\\"Baki the Grappler\\"
733	English	2007	\\"Bakugan Battle Brawlers\\"
734	Japanese	2010	\\"Bakuman.\\"
735	Japanese	2004	\\"Bakuretsu tenshi\\"
736	Japanese	2002	\\"Bakuten shoot beyblade\\"
737	English	2002	\\"Balamory\\"
738	English	2007	\\"Baldwin Hills\\"
739	English	2005	\\"Balls of Steel\\"
740		1996	\\"Ballykissangel\\"
741		2007	\\"Bam's Unholy Union\\"
742		1972	\\"Banacek\\"
743		1983	\\"Bananaman\\"
744	English	1992	\\"Bananas in Pyjamas\\"
745	Japanese	2007	\\"Banbû brêdo\\"
746		2001	\\"Band of Brothers\\"
747		1995	\\"Band of Gold\\"
748	Russian	2000	\\"Banditskiy Peterburg: Advokat\\"
749	Russian	2000	\\"Banditskiy Peterburg: Baron\\"
750	English	1999	\\"Bang, Bang, It's Reeves and Mortimer\\"
751		2007	\\"Banged Up Abroad\\"
752	English	1989	\\"Bangkok Hilton\\"
753	English	2001	\\"Banzai\\"
754	English	2011	\\"Bar Rescue\\"
755	English	2006	\\"Barbarians\\"
756	English	2005	\\"Barbershop\\"
757	English	2002	\\"Barefoot Contessa\\"
758		1975	\\"Baretta\\"
759	English	2000	\\"Bargain Hunt\\"
760		1973	\\"Barnaby Jones\\"
761		1992	\\"Barney & Friends\\"
762		1974	\\"Barney Miller\\"
763	Hungarian	1998	\\"Barátok közt\\"
764	English	1990	\\"Baseball Tonight\\"
765	English	1994	\\"Baseball\\"
766	Japanese	2005	\\"Basilisk: Kôga ninpô chô\\"
767	English	2010	\\"Basketball Wives\\"
768	Flemish	2011	\\"Basta\\"
769		1958	\\"Bat Masterson\\"
770	Russian	1985	\\"Batalyony prosyat ognya\\"
771		1999	\\"Batman Beyond\\"
772		1966	\\"Batman\\"
773		1992	\\"Batman\\"
774		2008	\\"Batman: The Brave and the Bold\\"
775	English	2008	\\"Battle 360\\"
776	English	1978	\\"Battle of the Planets\\"
777	English	2000	\\"BattleBots\\"
778	German	1995	\\"Battlefield\\"
779	English	2009	\\"Battles BC\\"
780		1978	\\"Battlestar Galactica\\"
781		2003	\\"Battlestar Galactica\\"
782		2004	\\"Battlestar Galactica\\"
783	\N	2011	\\"Battlestar Galactica: Blood and Chrome\\"
784	English	2007	\\"Battlestar Galactica: Razor Flashbacks\\"
785		2008	\\"Battlestar Galactica: The Face of the Enemy\\"
786	English	2006	\\"Battlestar Galactica: The Resistance\\"
787	Turkish	1996	\\"Bay Kamber\\"
788		1995	\\"Baywatch Nights\\"
789		1989	\\"Baywatch\\"
790		2005	\\"BeTipul\\"
791	English	2005	\\"Beach Girls\\"
792	\N	1992	\\"Beakman's World\\"
793	English	1997	\\"Bear in the Big Blue House\\"
794	English	1999	\\"Beast Machines: Transformers\\"
795	English	1996	\\"Beast Wars: Transformers\\"
796	English	1999	\\"BeastMaster\\"
797	English	2001	\\"Beat the Geeks\\"
798	Japanese	2000	\\"Beautiful Life\\"
799	English	2005	\\"Beautiful People\\"
800		1987	\\"Beauty and the Beast\\"
801		2005	\\"Beauty and the Geek\\"
802		2006	\\"Beauty and the Geek\\"
803	English	2011	\\"Beaver Falls\\"
804		1993	\\"Beavis and Butt-Head\\"
805		1997	\\"Beck\\"
806	Japanese	2004	\\"Beck: Mongolian Chop Squad\\"
807		1998	\\"Becker\\"
808	English	2011	\\"Becoming Human\\"
809		2011	\\"Bedlam\\"
810	Russian	2003	\\"Bednaya Nastya\\"
811	Japanese	2011	\\"Beelzebub\\"
812	English	2005	\\"Beethoven\\"
813	\N	1997	\\"Beetleborgs Metallix\\"
814	English	1989	\\"Beetlejuice\\"
815	English	1999	\\"Beggars and Choosers\\"
816		1997	\\"Behind the Music\\"
817		2010	\\"Behzat Ç. Bir Ankara Polisiyesi\\"
818	English	2008	\\"Beijing 2008: Games of the XXIX Olympiad\\"
819	English	2005	\\"Being Bobby Brown\\"
820		2009	\\"Being Erica\\"
821		2008	\\"Being Human\\"
822		2011	\\"Being Human\\"
823	Serbo	2006	\\"Bela ladja\\"
824	Turkish	2005	\\"Belali baldiz\\"
825	English	2002	\\"Believe Nothing\\"
826		1965	\\"Belphegor\\"
827		2005	\\"Belíssima\\"
828		2005	\\"Ben 10\\"
829	English	2008	\\"Ben 10: Alien Force\\"
830		2010	\\"Ben 10: Ultimate Alien\\"
831		1961	\\"Ben Casey\\"
832		2010	\\"Ben Hur\\"
833		2007	\\"Benidorm\\"
834		1983	\\"Benji, Zax & the Alien Prince\\"
835		1962	\\"Benny Hill\\"
836		1979	\\"Benson\\"
837		2012	\\"Bent\\"
838		1981	\\"Bergerac\\"
839	English	2012	\\"Bering Sea Gold\\"
840	English	1998	\\"Berkeley Square\\"
841		1980	\\"Berlin Alexanderplatz\\"
842	German	2002	\\"Berlin, Berlin\\"
843	None	2004	\\"Bernard\\"
844	English	1997	\\"Bernard's Watch\\"
845	Swedish	1994	\\"Bert\\"
846	Danish	2002	\\"Bertelsen - de uaktuelle nyheder\\"
847		1979	\\"Berusaiyu no bara\\"
848	Turkish	2002	\\"Besik kertmesi\\"
849		2012	\\"Best Friends Forever\\"
850	English	2004	\\"Best Week Ever\\"
851	\N	2010	\\"Bethenny Getting Married?\\"
852		2000	\\"Bette\\"
853		2009	\\"Better Off Ted\\"
854		2010	\\"Better with You\\"
855	English	2012	\\"Betty White's Off Their Rockers\\"
856	English	2008	\\"Between Two Ferns with Zach Galifianakis\\"
857		1992	\\"Between the Lines\\"
858	English	1999	\\"Between the Lions\\"
859	English	2003	\\"Between the Sheets\\"
860	English	1980	\\"Beulah Land\\"
861	English	2012	\\"Beverly Hills Nannies\\"
862	English	1987	\\"Beverly Hills Teens\\"
863		1990	\\"Beverly Hills, 90210\\"
864		1964	\\"Bewitched\\"
865		2005	\\"Beyaz Gelincik\\"
866		1996	\\"Beyaz show\\"
867		1997	\\"Beyond Belief: Fact or Fiction\\"
868	English	2011	\\"Beyond Scared Straight\\"
869		2006	\\"Beyond the Break\\"
870	Hindi	1988	\\"Bharat Ek Khoj\\"
871	Croatian	2006	\\"Bibin svijet\\"
873	English	1996	\\"Bible Man\\"
874		1996	\\"Big Bad Beetleborgs\\"
875	Greek	2007	\\"Big Bang\\"
876	Portuguese	2002	\\"Big Brother Brasil\\"
877	English	1996	\\"Big Cat Diary\\"
878		2006	\\"Big Day\\"
879	English	2011	\\"Big Fat Gypsy Weddings\\"
880	English	1999	\\"Big Guy and Rusty the Boy Robot\\"
881		2006	\\"Big Love\\"
882	English	2011	\\"Big Rich Texas\\"
883		2007	\\"Big Shots\\"
884		2009	\\"Big Time Rush\\"
885	English	1998	\\"Big Train\\"
886		1999	\\"Big Wolf on Campus\\"
887	English	1993	\\"Biker Mice from Mars\\"
888		2006	\\"Biker Mice from Mars\\"
889	English	2012	\\"Bikie Wars: Brothers in Arms\\"
890	Serbo	1995	\\"Bila jednom jedna zemlja\\"
891		1990	\\"Bill & Ted's Excellent Adventures\\"
892	English	1993	\\"Bill Nye, the Science Guy\\"
893		2006	\\"Billable Hours\\"
894	English	2002	\\"Billy Connolly's World Tour of Ireland, Wales and England\\"
895	English	2009	\\"Billy the Exterminator\\"
896		1987	\\"Biography\\"
897	English	1987	\\"Bionic Six\\"
898		2007	\\"Bionic Woman\\"
